Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
Intel	Intel	UHD 620 (i5-10210U)	Comet Lake	Gen10 GT2	2019-Q3 (2017)	PCIe 3.0 x1?	minipc	integrated	14nm	300-1100MHz	N/A	-	3GB	-, shared DDR4	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.6	Core 4.60	256	illwieckz	lost	2020-07-09	0.52~	passed	medium	2560×1440	-	-	
Intel	Clevo	HD 530 (i7-6700HQ)	Skylake	Gen9 GT2	2015-Q3 (2015)	PCIe 3.0 x1?	laptop	integrated	14nm	350-1050MHz	N/A	-	3GB	-, shared DDR4	Manjaro	Linux 5.12.0 i915	Mesa 21.0.3 i965	Core 4.6	Core 4.60	256	poVoq	configured	2020-04-26	0.52~	passed	medium	1920×1080	-	80-120	
Intel	Gigabyte	HD 520 (i3-6100U)	Skylake	Gen9 GT2	2015-Q3 (2015)	PCIe 3.0 x1?	minipc	integrated	14nm	300-1000MHz	N/A	-	3GB	-, shared DDR4	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.6	Core 4.60	256	illwieckz	lost	2020-09-05	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad W541)	HD 4600 (i7-4810MQ)	Haswell	Gen7 GT2	2014-Q1 (2013)	PCIe 3.0 x1?	laptop	integrated	22nm	400-1300MHz	N/A	-	2GB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.5	Core 4.50	256	illwieckz	configured	2020-08-07	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad T440p)	HD 4600 (i5-4300M)	Haswell	Gen7 GT2	2013-Q4 (2013)	PCIe 3.0 x1?	laptop	integrated	22nm	400-1250MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.5	Core 4.50	256	illwieckz	unconfigured	2020-08-07	0.52~	passed	ultra	1366×768	-	-	
Intel	Asus	HD 4000 (i5-3337U)	Ivy Bridge	Gen7 GT2	2013-Q1 (2013)	PCIe 2.0 x1?	laptop	integrated	22nm	350-1220MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	quantix	unconfigured	2020-08-12	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad W530)	HD 4000 (i7-3740QM)	Ivy Bridge	Gen7 GT2	2012-Q2 (2013)	PCIe 2.0 x1?	laptop	integrated	22nm	650-1300MHZ	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	mary	unconfigured	2020-08-21	0.52~	passed	medium	1920×1080	-	-	
Intel	Dell (Precision T1650)	HD P4000 (Xeon E3-1275V2)	Ivy Bridge	Gen7 GT2	2012-Q2 (2012)	PCIe 2.0 x1?	workstation	integrated	22nm	650-1350MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	dom	unconfigured	2020-09-04	0.52~	passed	medium	1920×1080	-	-	
Intel	Dell (Precision T1600)	HD 2000 (Xeon E3-1225)	Sandy Bridge	Gen6 GT1	2011-Q2	PCIe 2.0 x1?	workstation	integrated	32nm	850-1250MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 3.3	Core 3.30	256	dom	unconfigured	2020-09-04	0.52~	passed	low	1920×1080	-	-	
Intel	Toshiba	GM45 (Pentium U4100)	Cantigua	GMA Gen4 (GM45)	2009-Q3 (2008)	PCIe 1.0 x1?	workstation	onboard	45nm	533MHz	-	-	1536MB	-, shared DDR3?	Debian 10.10	Linux 4.19.0 i915	Mesa 18.3.6 i964	2.1	1.20	256	th2otime	configured	2021-07-22	0.52.0	slow	low	800×600	slowmodel	17-58	
Intel	Lenovo	GMA 4500 (Pentium E5200)	Eaglelake	GMA Gen4 (Q45)	2008-Q3 (2008)	PCIe 1.0 x1?	workstation	onboard	45nm	533MHz	-	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	2.1	1.20	256	illwieckz	unconfigured	2020-08-08	0.52~	slow	lowest	640×480	slowmodel	-	
Intel	HP	GMA 3100 (Pentium E5200)	Bearlake	GMA Gen3 (G33)	2008-Q3 (2007)	PCIe 1.0 x1?	workstation	onboard	45nm	400MHz	-	-	384MB	-, shared DDR2	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	2.1	1.20	-	illwieckz	unconfigured	2021-07-14	0.52.1	missing	-	-	nohalfloatvertex	-	
Intel	Dell	GMA 3100 (Pentium E2200)	Bearlake	GMA Gen3 (82Q35)	2007-Q4 (2007)	PCIe 1.1 x16	workstation	onboard	65nm	400MHz	-	-	-	-, shared DDR2	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.4 i965	2.1	1.20	-	papap	unconfigured	2021-07-08	0.52.1	missing	-	-	nohalfloatvertex	-	
Intel	Lenovo (Thinkpad X61T)	GMA X3100 (Core 2 Duo L7500)	Crestline	GMA Gen4 (GM965)	2006-Q3 (2007)	PCIe 1.0 x1?	laptop	onboard	65nm	400MHz	500MHz	-	384MB	-, shared DDR2	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	2.1	1.20	256	illwieckz	configured	2020-07-07	0.52~	slow	lowest	640×480	lowtex, slowmodel	-	
																														
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
Nvidia	PNY	GeForce GTX 1050 Ti	NV137, GP107-400-A1 	Pascal	2016-10-25	PCIe 3.0 x16	workstation	discrete	16nm	-	-	-	4GB	128-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	quantix	unconfigured	2020-08-12	0.52~	passed	medium	1920×1080	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 440.100 nvidia	Core 4.6	Core 4.60	233	quantix	unconfigured	2020-08-12	0.52~	passed	ultra	3840×2160	-	-	
Nvidia	Gigabyte	GeForce GTX 1060	NV136, GP106-300-A1	Pascal	2016-08-18	PCIe 3.0 x16	workstation	discrete	16nm	-	-	-	3GB	192-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	illwieckz	lost	2020-07-18	0.52~	passed	ultra	1920×1080	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 440.100 nvidia	Core 4.6	Core 4.60	233	illwieckz	lost	2020-07-18	0.52~	passed	ultra	3840×2160	-	-	
Nvidia	Lenovo (Thinkpad W541)	Quadro K1100M	NVE7, GK107GLM	Kepler	2013-07-23	PCIe 3.0 x16	laptop	onboard	28nm	716MHz	716MHz	1400MHz	2GB	128-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	illwieckz	unconfigured	2020-07-11	0.52~	passed	low	1280×720	-	86-109	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 390.138 nvidia	Core 4.6	Core 4.60	233	illwieckz	unconfigured	2020-07-11	0.52~	passed	medium	1920×1080	-	152-170	
Nvidia	Asus	GeForce GT 740M	NVE7, GK107M	Kepler	2013-04-01	PCIe 3.0 x16	laptop	onboard	28nm	-	-	-	2GB	-	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	quantix	unconfigured	2020-08-12	0.52~	passed	medium	1366×768	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 440.100 nvidia	Core 4.6	Core 4.60	233	quantix	unconfigured	2020-08-12	0.52~	passed	medium	1920×1080	-	-	
Nvidia	Asus	GeForce GTX 650	NVE7, GK107	Kepler	2012-09-13	PCIe 3.0 x16	workstation	discrete	28nm	-	-	-	2GB	-	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	illwieckz	lost	2020-07-18	0.52~	passed	medium	1280×720	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 440.100 nvidia	Core 4.6	Core 4.60	233	illwieckz	lost	2020-07-18	0.52~	passed	high	1920×1080	-	-	
Nvidia	Lenovo (Thinkpad W530)	Quadro K2000M	NVE7, GK107GLM	Kepler	2012-06-01	PCIe 3.0 x16	laptop	onboard	28nm	745MHz	N/A	1800MHz	1536MB	64-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	mary	unconfigured	2020-08-21	0.52~	passed	medium	1920×1080	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 390.138 nvidia	Core 4.6	Core 4.60	233	mary	unconfigured	2020-08-21	0.52~	passed	high	1920×1080	-	-	
Nvidia	Asus	GeForce GT 610/GT 520	NVD9, GF119-300-A1	Fermi	2012-05-15	PCIe 2.0 x16	workstation	lowprofile	40nm	810MHz	1620MHz	1000?18000MHz?	1GB	64-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nvc0	Core 4.3	Core 4.30	256	illwieckz	lost	2020-07-11	0.52~	passed	low	1280×720	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 390.138 nvidia	Core 4.6	Core 4.60	233	illwieckz	lost	2020-07-11	0.52~	passed	medium	1280×720	-	-	
Nvidia	Apple	Geforce GT 640M	NV108, GK208	Kepler	2012-03-22	PCIe 2.0 x16	workstation	onboard	28nm	625MHz	625MHz	1800-4000MHz	512MB	128-bit, DDR3	macOS 10.15.7	Darwin 19.6.0	Nvidia 14.0.2	Core 4.1	Core 4.10	233	illwieckz	configured	2021-06-03	0.52	passed	high	1920×1080	fakefps	118-122	Nvidia 355.11.11.10.10.143
Nvidia	Nvidia	Quadro NVS 300	NVA8, GT218	Tesla 2.0	2011-01-08	PCIe 2.0 x16	workstation	lowprofile	40nm	589MHz	1402MHz	1580MHz	512MB	64-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nv50	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-09-04	0.52~	passed	lowest	800×600	-	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	illwieckz	unplugged	2020-09-04	0.52~	passed	low	1280×720	nogather	-	
Nvidia	PNY	Geforce GTX 460	NVC4, GF104-300-KB-A1 	Fermi	2010-07-12	PCIe 2.0 x16	workstation	discrete	40nm	675MHz	1350MHz	3600MHz	1GB	256-bit GDDR5	Mint 20.01	Linux 5.4.0 nvidia	Nvidia 390.143	Core 4.6	Core 4.60	233	RaFaL	configured	2021-05-11	0.52	passed	medium	1280×720	hickups	90 (45)	
Nvidia	Gainward	GeForce 8400 GS rev.3	NVA8, GT218	Tesla 2.0	2010-07-12	PCIe 2.0 x16	workstation	lowprofile	40nm	-	-	-	512MB	-	Debian 10.5	Linux 4.19.0 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	freem	unplugged	2020-09-05	0.51.1	passed	low	1024×768	nogather	-	
Nvidia	Lenovo	Quadro 880M	NVA5, GT216GLM	Tesla 2.0	2010-01-07	PCIe 2.0 x16	laptop	onboard	40nm	550MHz	1210MHz	1600MHz	1GB	128-bit, GDDR3	Ubuntu 20.04.2	Linux 5.8.0 nouveau	Mesa 20.2.6 nv50	Core 3.3	Core 3.30	256	asellia	unconfigured	2021-07-28	0.52.1	passed	medium	1280×720	-	60-79	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04.2	Nvidia 340.108 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	asellia	unconfigured	2021-07-28	0.52.1	passed	medium	1280×720	nogather	100-145	
Nvidia	Asus	GeForce 210 Silent	NVA8, GT218-325-B1	Tesla 2.0	2009-08-12	PCIe 2.0 x16	workstation	lowprofile	40nm	520?589MHz?	1230?1402MHz?	1000-1600MHz?	1GB	128-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nv50	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-07-11	0.52~	playable	low	1280×720	lowtex	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Nvidia 340.108 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	illwieckz	unplugged	2020-07-11	0.52~	passed	low	1280×720	nogather	-	
Nvidia	Asus	GeForce 8400 GS rev.2	NV98, G98	Tesla 1.0	2007-12-10	PCIe 1.0 x16	workstation	lowprofile	65nm	-	-	-	512MB	-	Debian 10.5	Linux 4.19.0 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	freem	unplugged	2020-09-05	0.51.1	passed	low	1024×768	nogather	-	
Nvidia	PNY	GeForce 8400 GS rev.2	NV98, G98	Tesla 1.0	2007-12-10	PCI	workstation	lowprofile	65nm	-	-	-	512MB	-	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 nv30	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-09-25	0.52~	playable	lowest	640×480	-	32+	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 nvidia	Nvidia 340.108 nvidia	Core 3.3	Core 3.30	233	illwieckz	unplugged	2021-05-31	0.52	passed	medium	800×600	nogather	67-112 (120?)	
Nvidia	Dell (Optiplex 740)	GeForce 6150 LE + nForce 430	NV4C, MCP61	Curie	2006-06	HyperTransport	workstation	onboard	90nm	425MHz	N/A	400MHz?	128MB	64?128-bit?, DDR2?	Ubuntu 22.04.1	Linux 5.15.0 nouveau	Mesa 23.0.0 nv30	2.1	1.20	-	illwieckz	configured	2022-11-26	0.54~	slow	-	-	extfbo, mesamain	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 16.04.7	Linux 4.4.0 nvidia	Nvidia 304.134 nvidia	2.1	1.20	41	illwieckz	unconfigured	2020-09-30	0.52~	slow	lowest	640×480	nvidiagarbage, slowmodel, norgtc	7-35	
Nvidia	Asus	GeForce 7500 LE	NV46, G72	Curie	2006	PCIe 1.0 x16	workstation	lowprofile	90nm	263?324MHz?	N/A	275MHz	256MB	64-bit?, DDR2 TC	Ubuntu 22.04.1	Linux 5.15.0 nouveau	Mesa 23.0.0 nv30	2.1	1.20	-	illwieckz	unplugged	2022-11-26	0.54~	slow	-	-	extfbo, mesamain	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 16.04.7	Linux 4.11.0 nvidia	Nvidia 304.134 nvidia	2.1	1.20	41	illwieckz	unplugged	2021-06-03	0.52	slow	lowest	640×480	nvidiagarbage, slowmodel, norgtc	15-100	
Nvidia	Asus/HP	GeForce Extreme N6600LE Silencer	NV43	Curie	2004-08-12	PCIe 1.0 x16	workstation	discrete	110nm	300MHz	N/A	250-500MHz	256MB	128-bit, DDR	Ubuntu 22.04.1	Linux 5.15.0 nouveau	Mesa 23.0.0 nv30	2.1	1.20	-	illwieckz	unplugged	2022-11-26	0.54~	slow	-	-	extfbo, mesamain	-	
Nvidia	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 16.04.7	Linux 4.4.0 nvidia	Nvidia 304.134 nvidia	2.1	1.20	41	illwieckz	unconfigured	2020-09-30	0.52~	slow	lowest	640×480	nvidiagarbage, slowmodel, norgtc	16-67	
Nvidia	Chaintech	Geforce FX 5200 Cinema	NV34	Rankine	2003-03	AGP 2.0 8x	workstation	discrete	150nm	250MHz	N/A	20MHz	128MB	128-bit?, DDR	Ubuntu 16.04.7	Linux 4.8.0 nouveau	Mesa 18.0.5 nv30	1.5	N/A	-	illwieckz	unplugged	2020-10-03	0.52~	missing	-	-	-	-	
Nvidia	Nvidia	Geforce 4 MX440 8x	NV18	Celsius	2002-09-28	AGP 2.0 8x	workstation	lowprofile	150nm	275MHz	N/A	250MHz	64MB	128-bit, DDR	Ubuntu 20.04	Linux 5.4.0 nouveau	Mesa 20.0.8 vieux	1.2	N/A	-	illwieckz	unplugged	2020-08-09	0.52~	missing	-	-	-	-	
																														
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
Broadcom	Raspberry Pi (Raspberry Pi 4)	VideoCore VI (BCM2711)	-	VC4 V3D 4.2	2019-Q2	chip	singleboard	SoC	28nm	500MHz	-	-	2GB	LPDDR4-3200 SDRAM	Debian 12 Bookworm	Linux 6.1.0 vc4	Mesa 20.2.1 v3d	3.1	1.40	256	illwieckz	configured	2023-12-19	0.54.1	passed	low	800×480	-	100-120	0.54.0: 14-41
Broadcom	Raspberry Pi (Raspberry Pi 3B+)	VideoCore IV (BCM2837)	-	VC4 V3D 2.1	2016-Q1	chip	singleboard	SoC	28nm	300MHz	-	-	1GB	LPDDR-900 SDRAM	Debian 12 Bookworm	Linux 6.1.0 vc4	Mesa 20.2.1 vc4	2.1	1.20	256	illwieckz	configured	2023-12-19	0.54.1	missing	lowest	800×480	crash	-	
																														
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
ARM	Orange Pi (Orange Pi 5)	Mali-G610 (Rockchip RK3588S)	MP4 Odin	Valhall 3rd gen	2021-Q2	chip	singleboard	SoC	4nm	600MHz	-	-	16GB	LPDDR4x	Debian 11 Bullseye	Linux 5.10.11 panfrost	None	No	N/A	-	illwieckz	configured	2023-01-11	0.54.0~	missing	-	-	noaccel	-	
ARM	Banana Pi (Banana Pi M5)	Mali-G31 (Amlogic S905X3)	MP2 Dvalin	Bifrost 1st gen	2018-Q1	chip	singleboard	SoC	28nm	650MHz	-	-	4GB	LPDDR4-1066 SDRAM	Debian 11 Bullseye	Linux 5.19.16 panfrost	Mesa 23.0.0 panfrost	3.1	1.40	256	illwieckz	configured	2022-11-21	0.54.0~	playable	lowest	800×600	mesamain	33-59	
			-																											
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
Via	Asus	Chrome 9	K8M890CE / K8N890CE	Chromotion CE	2005-10	PCIe 1.0 x16?	workstation	onboard	-	250MHz	-	-	256MB	128-bit	Ubuntu 20.04	Linux 5.4.0 viafb	None	No	N/A	-	papap	unconfigured	2021-07-09	0.52.1	missing	-	-	noaccel	-	
																														
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
ASPEED	Gigabyte	ASPEED Graphics Family rev 41	-	-	-	PCIe 4.0 x1?	workstation	onboard	-	-	-	-	-	-	Ubuntu 21.10	Linux 5.13.0 ast	None	No	N/A	-	illwieckz	configured	2021-11-07	0.52.1	missing	-	-	noaccel	-	
